Fund House,Funds,Category,Rating,AUM(in Rs. cr),ExpenseRatio (%),inception_date,Benchmark Index,NAV,52 WeekHigh (NAV),52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%),No. of Stocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,category_average_return_1year,category_average_return_3years,Exit_load_Remarks
Franklin India Mutual Fund,Franklin India Equity Savings Fund(G),HY-EQ,2,152.9,2.11,27-Aug-18,NIFTY 50 Equity Savings Index,13.04,13.18,12.21,0.06,3.75,2.11,-0.28,12.39,8.36,-,-,483.67,48,207506,62.13,3.9,5.05,Financials,2.93,2.33,6.2,-1.92,-0.32,-0.5,0.36,6.59,Hybrid : Equity Oriented,1.35,8.53,Nil
Franklin India Mutual Fund,Franklin India Feeder - Franklin U.S. Opportunities Fund(G),FOF-OVR,Unrated,2803.3,1.55,6-Feb-12,Russell 3000 Growth Index,41.52,63.74,39.02,-3.29,-2.56,-15.12,-31.36,-6.61,9.21,11.56,14.09,4.01,-,-,-,-,-,-,-,-,-,-33.11,-1.07,-1.76,1.9,32.02,FoFs : Overseas,-21.18,4.44,1% on or before 1Y
Franklin India Mutual Fund,Franklin India Feeder - Templeton European Opportunities Fund(G),FOF-OVR,Unrated,15.1,1.42,16-May-14,MSCI Europe Index (Total Return Net),7.74,10.03,7.19,-1.02,-7.8,-14.82,-21.94,-0.78,-5.91,-5.15,-,4.98,-,-,-,-,-,-,-,-,-,-25.88,-1.37,-2.19,0.72,19.25,FoFs : Overseas,-21.18,4.44,1% on or before 1Y
Franklin India Mutual Fund,Franklin India Flexi Cap Fund(G),EQ-FLEX,4,10001.9,1.84,29-Sep-94,NIFTY 500 - TRI,983.31,1017.2,834.04,0.07,8.83,2.97,-2.43,32.23,19.63,11.74,15.23,18.06,52,146630,73.64,12.05,7.97,Financials,-,-,-,2.12,-0.17,-0.26,0.93,17.9,Equity : Flexi Cap,-2.7,16.46,1% on or before 1Y
Franklin India Mutual Fund,Franklin India Floating Rate Fund(G),DT-FL,2,303,0.98,23-Apr-01,CRISIL Low Duration Debt Index,33.12,33.12,32.14,0.48,1.53,1.84,2.98,3.6,4.5,5.47,5.97,0,-,-,-,-,-,-,3.3,0.59,6.06,0.33,0.44,0.81,0.1,0.67,Debt : Floater,3.09,5.61,Nil
Franklin India Mutual Fund,Franklin India Focused Equity Fund(G),EQ-MLC,3,8072,1.86,26-Jul-07,NIFTY 500 - TRI,69.07,70.79,57.8,-0.44,9.34,6.24,1.53,35.62,19.78,13.27,17.67,43.94,28,156043,71.76,14.49,9.3,Financials,4.82,3.33,14.04,5.7,0.05,0.08,0.88,17.07,Equity : Multi Cap,0.07,20.3,1% on or before 1Y
Franklin India Mutual Fund,Franklin India G-Sec Fund(G),DT-GILT,1,152.5,1.02,7-Dec-01,Nifty All Duration G-Sec Index,49.06,49.44,48.11,0,0.88,1.01,1.52,2.08,4.08,4.12,6.39,0,-,-,-,-,-,-,4.89,3.85,7.19,-1.13,-0.66,-1.09,0.51,2.08,Debt : Gilt,1.22,5.04,Nil
Franklin India Mutual Fund,Franklin India Life Stage FOFs-20(G),FOF-DOM,Unrated,11.1,1.5,1-Dec-03,S&P BSE SENSEX,118.19,123.64,105.14,-0.9,5.48,1.87,-4,24.44,13.48,8.03,11.56,5.87,-,-,-,-,-,-,-,-,-,-4.94,-0.37,-0.58,0.91,14.35,FoFs : Domestic,-3.72,13.95,1% on or before 1Y
Franklin India Mutual Fund,Franklin India Life Stage FOFs-30(G),FOF-DOM,Unrated,5.9,1.47,1-Dec-03,S&P BSE SENSEX,79.41,81.14,73.1,-0.6,3.94,1.63,-1.33,22.34,10.05,6.9,9.94,6.9,-,-,-,-,-,-,-,-,-,-2.97,-0.33,-0.52,0.68,9.79,FoFs : Domestic,-3.72,13.95,0.75% on or before 1Y
Franklin India Mutual Fund,Franklin India Life Stage FOFs-40(G),FOF-DOM,Unrated,16,1.28,1-Dec-03,Crisil Composite Bond Fund Index,58.54,59.35,54.81,-0.38,3.45,2.11,1.2,18.56,6.43,5.37,8.49,5.4,-,-,-,-,-,-,-,-,-,-0.86,-0.17,-0.26,0.49,6.36,FoFs : Domestic,-3.72,13.95,0.75% on or before 1Y
Franklin India Mutual Fund,Franklin India Life Stage FOFs-50 Plus(G),FOF-DOM,Unrated,14.2,0.97,1-Dec-03,Crisil Composite Bond Fund Index,36.95,37.29,35.48,-0.22,2.19,1.56,2.44,14.3,0.49,2.01,5.87,5.23,-,-,-,-,-,-,-,-,-,0.15,-0.01,-0.01,0.36,3.71,FoFs : Domestic,-3.72,13.95,1% on or before 1Y
Franklin India Mutual Fund,Franklin India Life Stage FOFs-50s +FR(G),FOF-DOM,Unrated,18.9,0.71,9-Jul-04,Crisil Liquid Fund Index,47.81,48.06,45.89,-0.03,2.29,1.94,2.26,8.46,7.32,6.67,8.2,5.95,-,-,-,-,-,-,-,-,-,-0.08,-0.05,-0.08,0.24,3.55,FoFs : Domestic,-3.72,13.95,1% on or before 1Y
Franklin India Mutual Fund,Franklin India Liquid Fund-Super Inst(G),DT-LIQ,4,1293.1,0.21,2-Sep-05,Crisil Liquid Fund Index,3262.72,3262.72,3131.11,0.47,1.33,2.4,4.2,3.69,4.08,5.34,6.85,0,-,-,-,-,-,-,0.1,0.1,6.26,0.08,0.99,0.93,0.01,0.08,Debt : Liquid,4.1,3.86,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL after 7D
Franklin India Mutual Fund,Franklin India Low Duration Fund(G),DT-LOWD,Unrated,51.1,0.04,26-Jul-10,NIFTY Low Duration Debt Index,32.61,32.61,25.32,0.63,1.36,22.18,37.14,23.83,13.64,11.27,-,0,-,-,-,-,-,-,0.01,0.01,4.96,31.55,1.51,30.19,-0.04,20.94,Debt : Low Duration,3.28,4.97,Nil
Franklin India Mutual Fund,Franklin India Multi-Asset Solution Fund(G),FOF-DOM,Unrated,45.9,1.25,28-Nov-14,CRISIL Hybrid 35+65 - Aggressive Index,14.29,14.62,13.83,0.26,1.02,-1.98,-0.1,16.27,3.38,3.58,-,40.13,-,-,-,-,-,-,-,-,-,-2.47,-0.42,-0.7,0.26,6.11,FoFs : Domestic,-3.72,13.95,1% on or before 3Y Nil after 3Y
Franklin India Mutual Fund,Franklin India NSE Nifty 50 Index Fund(G),EQ-INDX,2,473.2,0.67,4-Aug-00,NIFTY 50 - TRI,139.36,144.67,121.59,-0.27,7.58,2.51,-4.63,21.88,14.64,11.49,11.92,5.16,51,397377,99.8,-,-,Financials,-,-,-,0.23,-0.29,-0.47,0.98,17.96,Equity : Index Funds,-2.76,15.7,0.25% on or before 7D
Franklin India Mutual Fund,Franklin India Opportunities Fund(G),EQ-THEM,3,668.7,2.53,21-Feb-00,NIFTY 500 - TRI,118.93,128.94,97.26,-1.68,9.88,6.7,-7.92,25.36,17.96,10.79,14.27,76.25,35,59841,42.36,32.97,14.99,Capital Goods,-,-,-,-3.75,-0.47,-0.73,0.96,19.09,Equity : Thematic,7.27,15.07,1% on or before 1Y
Franklin India Mutual Fund,Franklin India Overnight Fund(G),DT-ON,2,177.5,0.14,8-May-19,CRISIL Overnight Index,1136.85,1136.85,1092.61,0.47,1.32,2.37,4.05,3.53,3.55,-,-,0,-,-,-,-,-,-,0.01,0.01,5.87,0.08,1.79,1.19,-,0.05,Debt : Overnight,4.1,3.6,Nil
Franklin India Mutual Fund,Franklin India Pension Plan(G),HY-SOL,2,445.9,2.28,31-Mar-97,Crisil Composite Bond Fund Index,162.13,164.44,150.28,0,4.21,2.15,-0.28,9.37,7.43,6.38,9.48,0,41,138847,29.61,3.97,5.34,Financials,3.01,2.49,7.14,-2.27,-0.38,-0.59,0.63,6.92,Hybrid : Solution Oriented,-1.53,19.02,3% on or beofre the 58Y of age Nil after age of 58Y
Franklin India Mutual Fund,Franklin India Prima Fund(G),EQ-MID,2,7579.1,1.89,1-Dec-93,Nifty Midcap 150 - TRI,1525.3,1609.67,1238.33,-1.06,10.54,5.63,-6.83,28.29,17.38,10.1,17.56,34.4,66,35484,15.62,69.18,12.06,Financials,-,-,-,-2.65,-0.4,-0.6,0.9,19.01,Equity : Mid Cap,0.53,23.53,1% on or before 1Y
Franklin India Mutual Fund,Franklin India Savings Fund(G),DT-MM,4,897.4,0.29,11-Feb-02,Nifty Money Market Index,41.2,41.2,39.72,0.31,1.1,1.95,3.71,3.65,4.6,5.91,7.16,0,-,-,-,-,-,-,0.49,0.46,6.78,1.06,2.83,4.2,0.05,0.36,Debt : Money Market,3.75,4.5,Nil
Franklin India Mutual Fund,Franklin India Smaller Cos Fund(G),EQ-SML,1,7135.4,1.92,13-Jan-06,Nifty Smallcap 250 - TRI,93.79,96.83,76.34,-0.5,11.78,4.03,-0.7,40.96,24.09,10.09,19.42,16.42,78,10485,5.81,12.2,78.39,Financials,-,-,-,3,-0.08,-0.12,0.82,18.85,Equity : Small Cap,2.94,30.51,1% on or before 1Y
Franklin India Mutual Fund,Franklin India ST Income Plan(G),DT-SD,1,503.2,0.04,31-Jan-02,Crisil Short Term Bond Fund Index,4727.63,4764.18,4380,0.34,-0.07,0.84,7.96,13.72,5.16,5.77,7.67,0,-,-,-,-,-,-,2.09,1.82,9.98,5.52,0.81,2.96,0.23,6.69,Debt : Short Duration,2.89,5.39,Nil
Franklin India Mutual Fund,Franklin India Taxshield(G),EQ-ELSS,3,4749.4,1.91,10-Apr-99,NIFTY 500 - TRI,884.39,912.32,748.09,-0.05,8.9,3.17,-3.69,30.31,16.26,10.58,14.51,36.62,54,148302,74.02,11.47,8.04,Financials,-,-,-,1.81,-0.19,-0.29,0.95,18.23,Equity : Tax Saving (ELSS),-1.86,16.69,Nil
Franklin India Mutual Fund,Franklin India Technology Fund(G),EQ-TECH,Unrated,651.2,2.44,22-Aug-98,S&P BSE TECk Index - TRI,277.25,366.43,267.49,0.66,1.05,-11.81,-22.3,10.22,20.32,17.84,16.03,17.04,36,222973,58.98,2.65,7.6,Technology,-,-,-,-20.56,-1.29,-2.12,0.81,19.35,Equity : Sectoral - Technology,-17.82,26.86,1% on or before 1Y
Franklin India Mutual Fund,Franklin India Ultra Short Bond Fund-Super Inst(G),DT-USD,2,296.5,0.04,18-Dec-07,NIFTY Ultra Short Duration Debt Index,34.91,34.91,31.59,0.59,1.32,5.87,13.69,10.97,8.76,8.73,-,0,-,-,-,-,-,-,0.01,0.01,4.96,10.26,2.92,11.39,0.03,3.51,Debt : Ultra Short Duration,3.68,4.48,Nil
HDFC Mutual Fund,HDFC Arbitrage-WP(G),HY-ARB,2,5897.3,0.95,23-Oct-07,Nifty 50 Arbitrage,25.39,25.39,24.47,0.46,1.14,1.97,3.63,3.7,3.74,4.6,5.93,251.43,126,139910,53.1,11.3,3.44,Financials,0.26,0.25,6.46,0.86,0.95,1.93,-0.01,0.9,Hybrid : Arbitrage,3.56,3.65,0.25% on or before 1M Nil after 1M
HDFC Mutual Fund,HDFC Asset Allocator FoF-Reg(G),FOF-DOM,Unrated,2250.9,1.31,5-May-21,NIFTY 50 Hybrid Composite Debt 65:35 Index,11.86,12.05,10.79,0,5.14,1.98,2.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.35,0.02,0.02,0.41,8.84,FoFs : Domestic,-3.72,13.95,Nil upto 15% of units and 1% for remaining units on or before 1Y Nil after 1Y
HDFC Mutual Fund,HDFC Balanced Advantage Fund(G),HY-DYN,4,47230.1,1.64,11-Sep-00,NIFTY 50 Hybrid Composite Debt 50:50 Index,310.97,315.31,267.55,0,8.04,5.55,6.76,31.95,17.04,11.99,12.97,23.28,74,144118,48.46,7.39,8.45,Financials,3.36,1.51,6.58,5.72,0.46,0.72,0.44,11.96,Hybrid : Dynamic Asset Allocation,1.18,10.47,Nil upto 15% of Units For excess Units 1% on or before 1Y and Nil after 1Y
HDFC Mutual Fund,HDFC Banking & Financial Services Fund-Reg(G),EQ-FIN,Unrated,2462.5,1.97,1-Jul-21,Nifty Financial Services - TRI,10.74,11.43,8.86,-2.24,11.39,5.84,-4.14,-,-,-,-,20.68,27,234900,83.38,8.25,6.81,Financials,-,-,-,1.59,-0.2,-0.32,1.05,20.63,Equity : Sectoral - Financial Services,-1.79,11.01,1% on or before 1Y Nil after 1Y
HDFC Mutual Fund,HDFC Banking and PSU Debt Fund-Reg(G),DT-B&PSU,4,5000.3,0.81,26-Mar-14,NIFTY Banking and PSU Debt Index,18.86,18.86,18.37,0.15,1.16,1.47,2.61,3.61,5.93,6.48,-,0,-,-,-,-,-,-,2.51,1.42,6.95,-,-0.08,-0.11,0.19,1.07,Debt : Banking & PSU,2.42,5.6,Nil
HDFC Mutual Fund,HDFC Capital Builder Value Fund(G),EQ-VAL,2,5324.2,2,1-Feb-94,NIFTY 500 - TRI,439.23,457.65,372.06,0.09,9.48,1.77,-2.96,26.11,16.53,9.67,14.39,5.66,69,124757,70.4,15.19,13.85,Financials,-,-,-,1.51,-0.2,-0.31,0.91,17.6,Equity : Value / Contra,3.04,21.88,1% on or before 1Y Nil after 1Y
HDFC Mutual Fund,HDFC Childrens Gift Fund,HY-SOL,4,5777.4,1.96,2-Mar-01,NIFTY 50 Hybrid Composite Debt 65:35 Index,192.98,197.09,169.82,-0.45,6.66,5.59,1.13,22.36,16.59,11.65,14.79,3.57,46,88456,39.71,5.19,21.98,Financials,3.61,2.48,6.99,0.03,-0.03,-0.05,0.73,12.26,Hybrid : Solution Oriented,-1.53,19.02,Nil
HDFC Mutual Fund,HDFC Corp Bond Fund(G),DT-CORP,4,21313,0.6,29-Jun-10,NIFTY Corporate Bond Index,26.37,26.43,25.73,-0.02,1.35,1.49,2.42,3.66,6.26,6.82,7.95,0,-,-,-,-,-,-,4.73,2.38,7.18,-0.15,-0.19,-0.25,0.31,1.54,Debt : Corporate Bond,2.2,5.79,Nil
HDFC Mutual Fund,HDFC Credit Risk Debt Fund-(G),DT-CR,5,8615.5,1.62,25-Mar-14,NIFTY Credit Risk Bond Index,19.69,19.71,19.07,0.03,1.28,1.69,3.1,5.92,7.29,6.83,-,0,-,-,-,-,-,-,2.74,2.05,8.3,0.53,0.27,0.32,0.3,1.45,Debt : Credit Risk,3.6,5.53,Nil for 15% of Units For excess of limits 1% on or before 12M and 0.50% after 12M but on or before 18M Nil after 18M
HDFC Mutual Fund,HDFC Developed World Indexes FoF-Reg(G),FOF-OVR,Unrated,964.4,0.73,6-Oct-21,MSCI World,9.02,10.76,8.63,-4.19,-2.13,-11.45,-14.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-14.19,-0.72,-1.15,-0.14,19.49,FoFs : Overseas,-21.18,4.44,1% on or before 30D Nil after 30D
HDFC Mutual Fund,HDFC Dividend Yield Fund-Reg(G),EQ-DIV,Unrated,2991.3,2.11,18-Dec-20,NIFTY 500 - TRI,14.87,15.28,12.54,0.38,8.94,3.32,-0.01,-,-,-,-,19.39,72,111080,67.06,12.95,17.54,Financials,-,-,-,4.81,-,-,0.86,17.19,Equity : Thematic - Dividend Yield,-1.06,18.75,1% on or before 1Y Nil after 1Y
HDFC Mutual Fund,HDFC Dynamic Debt Fund(G),DT-DYN,4,506.3,1.73,28-Apr-97,CRISIL Dynamic Debt Index,73.51,73.78,71.92,0.11,1.46,1.42,0.96,4.58,6.06,4.59,6.92,0,-,-,-,-,-,-,6.09,2.4,6.73,-1.76,-1.06,-1.68,0.41,1.83,Debt : Dynamic Bond,2.02,5.08,Nil
HDFC Mutual Fund,HDFC Dynamic PE Ratio FOF-Reg(G),FOF-DOM,Unrated,29.7,-,6-Feb-12,NIFTY 50 Hybrid Composite Debt 65:35 Index,27.61,28.09,24.63,-0.28,6.06,3.32,2.8,18.21,14,9.56,9.95,0,-,-,-,-,-,-,2.95,2.16,-,0.93,0.07,0.11,0.51,8.88,FoFs : Domestic,-3.72,13.95,1% on or before 1Y Nil after 1Y
HDFC Mutual Fund,HDFC Equity Savings Fund(G),HY-EQ,2,2576.8,2.06,17-Sep-04,NIFTY 50 Equity Savings Index - TRI,49.63,50.06,46.27,0.06,4.15,2.38,1.84,15.48,10.34,7.67,9.18,30.74,74,161949,57.21,4.92,4.1,Financials,1.67,1.04,6.43,-0.13,-0.05,-0.07,0.33,6.54,Hybrid : Equity Oriented,1.35,8.53,NIL upto 15% of investment and 1% in excess of 15% of investment on or before 3M NIL after 3M
HDFC Mutual Fund,HDFC Flexi Cap Fund(G),EQ-FLEX,3,29749,1.74,1-Jan-95,NIFTY 500 - TRI,1097.33,1123.55,922.02,-0.14,10.29,5.3,5.31,37.84,19.36,13.23,14.63,32.98,53,181999,77.8,8.06,5.75,Financials,1.14,0.92,6.78,9.93,0.29,0.46,0.88,17.41,Equity : Flexi Cap,-2.7,16.46,1% on or before 1Y Nil after 1Y
HDFC Mutual Fund,HDFC Floating Rate Debt Fund(G),DT-FL,3,16088.2,0.48,23-Oct-07,NIFTY Low Duration Debt Index,40.55,40.55,39.08,0.39,1.85,2.38,3.67,4.52,6,6.64,7.7,0,-,-,-,-,-,-,3.77,0.84,6.98,1.06,1.22,1.81,0.14,0.81,Debt : Floater,3.09,5.61,Nil
HDFC Mutual Fund,HDFC Focused 30 Fund(G),EQ-MLC,2,2329.1,2.14,17-Sep-04,NIFTY 500 - TRI,128.4,130.71,105.09,0.2,10.73,7.25,9.22,38.85,19.01,10.57,12.78,47.44,29,146949,76.44,7.2,6.43,Financials,-,-,-,13.61,0.54,0.86,0.84,16.58,Equity : Multi Cap,0.07,20.3,1% on or before 1Y Nil after 1Y
HDFC Mutual Fund,HDFC Gilt Fund(G),DT-GILT,2,1670.3,0.89,25-Jul-01,CRISIL Dynamic Gilt Index,44.88,45.19,43.86,0.01,1.24,1.35,0.84,1.82,4.5,5.01,7.21,0,-,-,-,-,-,-,5.21,3.31,6.93,-1.81,-0.82,-1.26,0.63,2.55,Debt : Gilt,1.22,5.04,Nil
HDFC Mutual Fund,HDFC Gold ETF,GOLD-ETF,Unrated,3121.6,0.59,13-Aug-10,Gold-India,44.14,48.73,42.17,1.76,-1.29,-6.47,5.22,-1.55,8.24,10.01,3.89,-,-,-,-,-,-,-,-,-,-,1.61,0.14,0.24,-0.37,13.33,Gold : ETFs,-3.32,12.35,Nil
HDFC Mutual Fund,HDFC Gold Fund(G),GOLD-MF,Unrated,1332.3,0.61,1-Nov-11,Gold-India,15.66,16.81,14.96,1.6,-1.33,-6.94,4.43,-1.87,8.31,9.7,3.39,-,-,-,-,-,-,-,-,-,-,0.93,0.1,0.19,-0.4,11.33,Gold : MFs,3.72,7.87,2% on & before 6M1% after 6M but on or before 12M Nil after 12M
HDFC Mutual Fund,HDFC Housing Opp Fund-Reg(G),EQ-INFRA,1,1188.4,2.23,6-Dec-17,Nifty Housing - TRI,13.23,13.79,10.85,-2.14,11.4,4.33,-3.45,28.66,13.46,-,-,6.83,37,106944,71.98,7.93,17.94,Financials,-,-,-,1.39,-0.2,-0.31,0.95,19.02,Equity : Sectoral - Infrastructure,5.4,20.87,1% on or before 1Y Nil after 1Y
HDFC Mutual Fund,HDFC Hybrid Debt Fund(G),HY-DT(CO),4,2706.5,1.83,26-Dec-03,NIFTY 50 Hybrid Composite Debt 15:85 Index,61.3,61.84,57.9,-0.14,3.27,2.19,2.07,12.18,9.77,7.19,9.04,0,41,137484,16.3,3.04,2.83,Financials,4.86,3.12,7.4,0.03,-0.04,-0.06,0.46,4.65,Hybrid : Debt Oriented (Conservative),0.59,9.76,Nil for 15% of investment and 1% for remaining Investment on or before 1Y Nil after 1Y
HDFC Mutual Fund,HDFC Hybrid Equity Fund(G),HY-EQ,4,18413.9,1.84,6-Apr-05,NIFTY 50 Hybrid Composite Debt 65:35 Index,82.56,84.62,72.57,-0.81,7.23,3.46,0.78,23.58,15.53,9.59,11.4,11.22,35,173709,52.72,6.63,9.13,Financials,2.13,1.65,6.74,-0.03,-0.03,-0.05,0.77,13,Hybrid : Equity Oriented,1.35,8.53,Nil upto 15% of Units For excess Units 1% on or before 1Y and Nil after 1Y
HDFC Mutual Fund,HDFC Income Fund(G),DT-M&LD,2,523.8,2.06,11-Sep-00,NIFTY Medium to Long Term Debt Index,47.58,48.01,46.4,-0.33,1.5,1,-0.02,1.49,4.03,4.25,6.25,0,-,-,-,-,-,-,7.08,4.01,7.17,-2.55,-1.07,-1.42,0.64,2.67,Debt : Medium to Long Duration,1.11,4.88,Nil
HDFC Mutual Fund,HDFC Index Fund-NIFTY 50 Plan(G)(Post Addendum),EQ-INDX,4,6775.6,0.4,17-Jul-02,NIFTY 50 - TRI,162.64,168.65,141.7,-0.27,7.62,2.55,-4.53,22.42,15.12,12.2,12.62,8.52,50,397412,100.08,-,-,Financials,-,-,-,0.43,-0.28,-0.45,0.99,18.15,Equity : Index Funds,-2.76,15.7,0.25% on or before 3D Nil after 3D
HDFC Mutual Fund,HDFC Index Fund-S&P BSE Sensex(G)(Post Addendum),EQ-INDX,2,3825.1,0.4,17-Jul-02,S&P BSE SENSEX - TRI,534.49,550.82,463.69,0.18,8.31,3.87,-3.76,21.74,15.18,13.34,12.99,5.16,30,483564,100.03,-,-,Financials,-,-,-,1.31,-0.23,-0.38,1,18.27,Equity : Index Funds,-2.76,15.7,0.25% on or before 3D Nil after 3D
HDFC Mutual Fund,HDFC Infrastructure Fund(G),EQ-INFRA,1,594.2,2.6,10-Mar-08,S&P BSE India Infrastructure Index - TRI,22.56,23.68,18.09,-2.03,12.56,6.91,5.15,43.76,14.43,3.3,7.73,16.82,45,22638,45.08,6.63,46.2,Infrastructure,-,-,-,10.18,0.27,0.41,0.87,20.01,Equity : Sectoral - Infrastructure,5.4,20.87,1% on or before 1Y Nil after 1Y
HDFC Mutual Fund,HDFC Large and Mid Cap Fund-Reg(G),EQ-L&M,4,7070.7,1.89,18-Feb-94,NIFTY LargeMidcap 250 - TRI,194.74,202.02,164.66,-1.16,7.74,3.51,-2.43,34.45,20.56,13.12,12.23,16.11,145,84686,49.9,39.27,7.91,Financials,-,-,-,3.07,-0.11,-0.17,0.94,18.78,Equity : Large & Mid Cap,-1.58,18.24,1% on or before 1Y Nil after 1Y
HDFC Mutual Fund,HDFC Liquid Fund(G),DT-LIQ,2,50028.9,0.3,17-Oct-00,Crisil Liquid Fund Index,4257.33,4257.33,4088.49,0.45,1.3,2.35,4.13,3.62,3.93,5.14,6.69,0,-,-,-,-,-,-,0.11,0.11,6.2,0.05,0.32,0.32,0.01,0.08,Debt : Liquid,4.1,3.86,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL after 7D
HDFC Mutual Fund,HDFC Low Duration Fund(G),DT-LOWD,4,15292.2,1.04,18-Nov-99,NIFTY Low Duration Debt Index,47.7,47.7,46.16,0.29,1.33,1.89,3.31,3.93,5.27,5.98,6.98,0,-,-,-,-,-,-,2.78,0.88,7.07,0.68,1.12,1.76,0.1,0.58,Debt : Low Duration,3.28,4.97,Nil
HDFC Mutual Fund,HDFC Medium Term Debt Fund(G),DT-MD,4,3664.6,1.34,6-Feb-02,NIFTY Medium Duration Debt Index,45.96,46.17,44.85,-0.07,1.15,1.28,2.01,4.1,6,6.25,7.48,0,-,-,-,-,-,-,4.27,2.93,7.98,-0.63,-0.45,-0.59,0.42,1.8,Debt : Medium Duration,1.38,5.02,Nil
HDFC Mutual Fund,HDFC Mid-Cap Opportunities Fund(G),EQ-MID,3,34158.2,1.71,25-Jun-07,Nifty Midcap 150 - TRI,99.02,102.75,80.28,-0.99,10.87,6.46,2.29,35.76,24.18,12.52,18.67,19.39,62,25746,12.18,66.27,18.55,Financials,-,-,-,6.8,0.11,0.17,0.85,18.83,Equity : Mid Cap,0.53,23.53,1% on or before 1Y Nil after 1Y
HDFC Mutual Fund,HDFC Money Market Fund(G),DT-MM,4,12650.8,0.41,3-Jan-00,Nifty Money Market Index,4694.46,4694.46,4511.96,0.37,1.19,2.11,4.05,3.92,4.93,6.06,7.12,0,-,-,-,-,-,-,0.41,0.41,6.86,1.39,4.07,6.26,0.04,0.33,Debt : Money Market,3.75,4.5,Nil
HDFC Mutual Fund,HDFC Multi Cap Fund-Reg(G),EQ-MLC,Unrated,5539.5,2,10-Dec-21,Nifty500 Multicap 50:25:25 - TRI,10.68,10.96,8.83,-0.22,10.3,6.17,-,-,-,-,-,-,127,57785,45.88,29.68,23.53,Financials,-,-,-,-,-,-,-,-,Equity : Multi Cap,0.07,20.3,1% on or before 1Y Nil after 1Y
HDFC Mutual Fund,HDFC Multi-Asset Fund(G),HY-MULTI,Unrated,1572.9,2.24,17-Aug-05,NIFTY 50 Hybrid Composite Debt 65:35 Index,48.42,49.48,44.77,-0.22,4.01,1.56,0.87,15.46,14.18,9.78,9.95,25.88,62,164894,54.42,6.95,4.84,Financials,2.62,1.24,6.75,-1.03,-0.15,-0.24,0.49,8.89,Hybrid : Multi Asset Allocation,1.62,13.98,Nil upto 15% of units For remaining units 1% or or before 12M Nil after 12M
HDFC Mutual Fund,HDFC NIFTY 100 Equal Weight Index Fund-Reg(G),EQ-INDX,Unrated,81.6,1,23-Feb-22,Nifty100 Equal Weight - TRI,10.2,10.78,8.87,-2.59,5.77,-1.85,-,-,-,-,-,-,100,119424,89.82,10.01,-,Financials,-,-,-,-,-,-,-,-,Equity : Index Funds,-2.76,15.7,Nil
HDFC Mutual Fund,HDFC Nifty 100 ETF,EQ-ETF,Unrated,7.3,0.3,5-Aug-22,NIFTY 100 - TRI,178.41,185.27,172.54,-1.06,-,-,-,-,-,-,-,-,100,322884,96.35,1.64,-,Financials,-,-,-,-,-,-,-,-,Equity : ETFs,-3.32,12.35,null
HDFC Mutual Fund,HDFC NIFTY 100 Index Fund-Reg(G),EQ-INDX,Unrated,87.3,0.9,23-Feb-22,NIFTY 100 - TRI,10.29,10.69,8.96,-1.15,7.15,1.35,-,-,-,-,-,-,100,322315,97.08,1.68,-,Financials,-,-,-,-,-,-,-,-,Equity : Index Funds,-2.76,15.7,Nil
HDFC Mutual Fund,HDFC Nifty 50 ETF,EQ-ETF,Unrated,1711.2,0.05,9-Dec-15,NIFTY 50 - TRI,189.28,195.64,164.68,-0.25,7.72,2.76,-4.11,22.93,15.64,12.66,-,5.82,50,397412,99.97,-,-,Financials,-,-,-,0.88,-0.25,-0.41,0.99,18.16,Equity : ETFs,-3.32,12.35,null
HDFC Mutual Fund,HDFC NIFTY Bank ETF,EQ-ETF,Unrated,66.2,0.16,21-Aug-20,NIFTY BANK - TRI,406.27,417.31,327.74,-1.13,14.17,10.48,2.15,29.39,-,-,-,27.9,12,363665,93.34,6.33,-,Financials,-,-,-,8.87,0.12,0.2,1.1,22.42,Equity : ETFs,-3.32,12.35,null
HDFC Mutual Fund,HDFC NIFTY Growth Sectors 15 ETF,EQ-ETF,Unrated,9.6,0.3,23-Sep-22,Nifty Growth Sectors 15 - TRI,88.41,88.96,85.89,-,-,-,-,-,-,-,-,-,15,194515,97.78,1.74,-,FMCG,-,-,-,-,-,-,-,-,Equity : ETFs,-3.32,12.35,null
HDFC Mutual Fund,HDFC NIFTY Next 50 ETF,EQ-ETF,Unrated,8.1,0.15,5-Aug-22,NIFTY NEXT 50 - TRI,420.34,455.38,413.87,-4.81,-,-,-,-,-,-,-,-,50,83396,87.88,11.92,-,Financials,-,-,-,-,-,-,-,-,Equity : ETFs,-3.32,12.35,null
